,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V,AAPL,AMZN,FB,GE,GOOG,GOOGL,JPM,MSFT,TSLA,V
Date,,,,,,,,,,,,,,,,,,,,
2015-06-10,29.451366424560547,430.7699890136719,82.16000366210938,186.9885711669922,536.6900024414062,552.5999755859375,57.06147766113281,41.698814392089844,50.13999938964844,66.7927017211914,156349200,2172300,21531200.0,4312841,1815000,1515800,17478900,28417400,17272500.0,6807800
2015-06-11,29.385089874267578,432.9700012207031,81.83000183105469,186.17642211914062,534.6099853515625,550.0399780273438,57.27880859375,41.546730041503906,50.28200149536133,66.80229949951172,141563600,2922500,18656800.0,4080492,1217500,1293600,13739900,27347800,10220500.0,5238700
2015-06-12,29.060598373413086,429.9200134277344,81.52999877929688,185.36436462402344,532.3300170898438,547.469970703125,57.0531120300293,41.126258850097656,50.13800048828125,66.50492858886719,147544800,2054400,11417900.0,2882178,955800,1273400,11804700,23931000,7111500.0,4900700
2015-06-15,29.003467559814453,423.6700134277344,80.70999908447266,184.1461944580078,527.2000122070312,543.0,56.83576202392578,40.68788146972656,50.07600021362305,65.77589416503906,175955600,2051000,18805100.0,3704831,1632700,1357500,14082300,33254500,10931000.0,5995100
2015-06-16,29.158857345581055,427.260009765625,81.05999755859375,184.21383666992188,528.1500244140625,544.8699951171875,57.1534309387207,41.001007080078125,50.624000549316406,66.19795989990234,125976400,2296400,13693700.0,3584035,1071800,1626300,11692800,27070300,9923500.0,5937400
2015-06-17,29.09030532836914,427.80999755859375,81.79000091552734,184.55221557617188,529.260009765625,546.5999755859375,56.961158752441406,41.126258850097656,52.082000732421875,65.94857788085938,131672400,2185900,18350300.0,4751279,1294200,1222000,14521900,28704100,27564500.0,7818300
2015-06-18,29.22284698486328,439.3900146484375,82.91000366210938,186.80453491210938,536.72998046875,556.1799926757812,57.49615478515625,41.79723358154297,52.37799835205078,66.6679916381836,141628800,3378400,26782600.0,4898491,1833100,2059600,16759600,32658300,13913500.0,7596800
2015-06-19,28.930343627929688,434.9200134277344,82.51000213623047,185.91725158691406,536.6900024414062,557.52001953125,56.911014556884766,41.242557525634766,52.50199890136719,65.89099884033203,218867600,4495100,23353200.0,7834788,1893500,2964500,21606400,63837000,12315000.0,8728800
2015-06-22,29.161148071289062,436.2900085449219,84.73999786376953,187.14581298828125,538.1900024414062,559.6799926757812,57.646636962890625,41.358863830566406,51.95800018310547,66.27470397949219,136157200,1823600,29383100.0,3575611,1250300,1737600,14306700,20318100,22805500.0,5511700
2015-06-23,29.028606414794922,445.989990234375,87.87999725341797,188.03306579589844,540.47998046875,563.3900146484375,58.30702590942383,41.07257080078125,53.534000396728516,66.59124755859375,121075600,3245000,50667900.0,4226417,1197500,1569800,15736900,25896500,19354000.0,3888700
2015-06-24,29.275405883789062,440.8399963378906,88.86000061035156,186.05374145507812,537.8400268554688,558.5700073242188,57.69680404663086,40.831031799316406,53.034000396728516,66.0540771484375,221123600,2620800,41370200.0,4219371,1286600,1446200,16995000,34890900,12061500.0,4670600
2015-06-25,29.136005401611328,440.1000061035156,87.9800033569336,184.55223083496094,535.22998046875,557.9500122070312,57.387489318847656,40.8399772644043,53.757999420166016,65.82386016845703,127752400,2237500,27302000.0,3034473,1335700,1334200,13314300,20616000,14246000.0,4705100
2015-06-26,28.964624404907227,438.1000061035156,88.01000213623047,184.8934326171875,531.6900024414062,553.0599975585938,57.638267517089844,40.49106216430664,53.417999267578125,65.94857788085938,176267200,2624500,38214600.0,3351062,2109100,2183800,14489200,49835300,19192000.0,7025600
2015-06-29,28.457311630249023,429.8599853515625,85.80000305175781,181.82217407226562,521.52001953125,541.25,56.17536163330078,39.6948356628418,52.40399932861328,64.00127410888672,196645600,2753200,35957900.0,4338399,1937800,1887800,19934400,34081700,17394500.0,9706700
